A,0.4,46.81,2.71,0.239,0.096,43.27501,1.05964,1.34663
C,0.8,49.525,8.409,-0.047,0.066,44.85,-1.37886,0.11164
C,1.2,54.667,14.162,-0.214,-0.065,46.125,-0.4773,-1.05407
C,1.6,61.686,19.613,-0.756,-0.105,46.2,3.49712,2.01525
C,2,70.749,25.142,-1.373,-0.187,47.62501,0.16569,-2.81391
C,2.4,82.441,30.975,-2.027,-0.308,47.17499,2.21596,-1.53796
C,2.9,100.073,38.032,-2.978,-0.417,49.2,0.98023,-1.43189
C,3.3,116.75,43.94,-3.762,-0.696,47.775,0.61318,1.87074
C,3.7,135.057,49.744,-4.675,-0.88,47.1,-1.1397,-0.38303
C,4.1,155.462,55.558,-5.582,-1.045,45.375,-1.36846,-0.30157
C,4.5,179.226,61.413,-6.33,-1.185,47.84999,0.68943,-2.32927
C,5.8,274.215,80.971,-9.044,-1.462,47.47501,-0.59479,-0.10607
C,6.2,308.007,86.819,-9.694,-1.549,46.34998,0.74246,1.27279
C,7,382.417,99.273,-11.212,-1.641,48.15,-1.13487,-1.4905
C,7.4,423.491,105.179,-11.79,-1.674,50.25,0.54491,-2.38648
C,7.9,478.808,113.052,-12.404,-1.64,46.35,-3.23501,2.02844
C,8.7,574.291,125.65,-12.909,-1.367,48.67498,1.37886,3.60624
C,9.5,677.798,137.937,-12.814,-0.851,48.375,-2.53658,-0.6402
C,9.9,734.676,144.358,-12.54,-0.413,44.69999,1.83192,-0.75147
C,10.4,809.724,152.427,-12.082,0.115,47.55,-1.27279,3.28805
C,10.8,872.807,158.755,-11.513,0.69,47.39999,-0.15148,-1.43468
C,11.6,1005.824,171.417,-10.45,2.139,48.22499,1.11369,1.96297
C,12,1075.404,177.761,-9.714,2.907,48.075,-2.14974,1.53796
C,12.9,1241.276,192.284,-8.209,5.087,47.7,-1.39725,-0.86794
C,13.3,1318.766,198.592,-7.45,6.122,47.99999,1.44787,-1.21976
C,14.1,1481.302,211.696,-6.261,8.395,51.97499,-1.38127,-0.97197
C,14.5,1568.191,218.565,-5.669,9.667,48.07499,0.73485,-0.43049
C,15.4,1772.576,233.316,-4.866,12.64,50.09999,0.53033,3.18198
C,15.8,1866.779,239.907,-4.548,13.834,47.475,3.217,0.37123
C,16.6,2063.709,253.452,-3.979,16.022,49.2,-0.42426,-0.11888
C,17,2166.087,260.165,-3.755,16.694,50.39999,-1.62879,0.57296
C,17.9,2407.1,275.563,-3.471,18.235,49.79999,-0.24334,-0.4773
C,18.3,2518.19,282.587,-3.058,18.612,47.1,-2.97162,0.36844
C,19.1,2751.005,296.435,-2.856,18.871,49.42501,0.6364,0.51751
C,19.5,2871.799,303.426,-2.793,19.014,49.57499,-0.85614,-1.62118
